time,0,1,2,3,4,5,time
0,-50.0,-50.0,5.0,-50.0,-50.0,-50.0,35.641820192337036
1,-50.0,-50.0,5.0,-50.0,-4.0,-50.0,35.64195394515991
2,-50.0,-50.0,5.0,-50.0,-4.0,5.0,35.642061948776245
3,-50.0,-4.0,5.0,-50.0,-4.0,5.0,51.46822905540466
4,-50.0,-4.0,5.0,-42.0,-4.0,5.0,60.054380893707275
5,-50.0,-4.0,5.0,-6.0,-4.0,5.0,87.23086619377136
6,-50.0,-4.0,5.0,-4.0,-4.0,5.0,102.69521021842957
7,-50.0,-4.0,5.0,5.0,-4.0,5.0,123.57485604286194
8,-50.0,5.0,5.0,5.0,-4.0,5.0,158.29449796676636
9,-42.0,5.0,5.0,5.0,-4.0,5.0,171.679829120636
10,-31.0,5.0,5.0,5.0,-4.0,5.0,190.38815307617188
11,-4.0,5.0,5.0,5.0,-4.0,5.0,610.1330850124359
12,5.0,5.0,5.0,5.0,-4.0,5.0,648.6606020927429
13,5.0,5.0,5.0,5.0,5.0,5.0,737.4161510467529
